iteration,train,test,cost
0.0,0.48,0.552,1.5803778816156218
1.0,0.47733333333333333,0.552,1.5411418306778806
2.0,0.47733333333333333,0.56,1.4906575832117104
3.0,0.4746666666666667,0.56,1.434391797718579
4.0,0.4746666666666667,0.56,1.37694403521483
5.0,0.4613333333333333,0.536,1.322297261530853
6.0,0.464,0.52,1.2715643286428417
7.0,0.4533333333333333,0.512,1.2260674100942206
8.0,0.432,0.52,1.1865439831778397
9.0,0.4266666666666667,0.512,1.1543594768742957
10.0,0.4266666666666667,0.496,1.1283060506294813
11.0,0.4533333333333333,0.464,1.106432305239852
12.0,0.43733333333333335,0.496,1.0881662015581084
13.0,0.432,0.488,1.0726143682105473
14.0,0.43733333333333335,0.48,1.0583352853679533
15.0,0.472,0.52,1.0452673478260792
16.0,0.544,0.52,1.0327044271261046
17.0,0.6213333333333333,0.568,1.0198018284873571
18.0,0.64,0.592,1.0060893359882683
19.0,0.6533333333333333,0.624,0.990592110964096
20.0,0.6533333333333333,0.632,0.9741190991494506
21.0,0.6453333333333333,0.624,0.9569846179013689
22.0,0.6506666666666666,0.632,0.9388416680496404
23.0,0.664,0.632,0.9196389116132395
24.0,0.6933333333333334,0.648,0.9002474814725734
25.0,0.7226666666666667,0.688,0.8808447141392475
26.0,0.76,0.704,0.8617307859984565
27.0,0.7946666666666666,0.744,0.8428815573001434
28.0,0.8133333333333334,0.784,0.8246398009394308
29.0,0.848,0.808,0.8069202852044154
30.0,0.8666666666666667,0.84,0.789801672602405
31.0,0.88,0.872,0.7740085081461368
32.0,0.9066666666666666,0.872,0.7593873083815252
33.0,0.9146666666666666,0.872,0.7457148825048712
34.0,0.9306666666666666,0.888,0.7329311681507922
35.0,0.936,0.904,0.7208887657616778
36.0,0.952,0.912,0.7096406932074305
37.0,0.952,0.912,0.6992224927458304
38.0,0.9546666666666667,0.92,0.6893853516795048
39.0,0.9626666666666667,0.944,0.680448628764973
40.0,0.9626666666666667,0.944,0.6721916834515196
41.0,0.9706666666666667,0.952,0.6643713374018759
42.0,0.9706666666666667,0.96,0.6570621249636701
43.0,0.9706666666666667,0.968,0.6502648941029678
44.0,0.968,0.976,0.6442821288188715
45.0,0.968,0.984,0.638757406867883
46.0,0.968,0.984,0.633741597181779
47.0,0.968,0.984,0.6290918633570196
48.0,0.9653333333333334,0.984,0.6248940540892927
49.0,0.9626666666666667,0.984,0.6212020540058364
50.0,0.9653333333333334,0.984,0.6180345793343331
51.0,0.9653333333333334,0.976,0.615247189292939
52.0,0.9653333333333334,0.976,0.6127947779490153
53.0,0.9653333333333334,0.976,0.6104835490464611
54.0,0.9653333333333334,0.976,0.608353699156236
55.0,0.9626666666666667,0.968,0.6063578305074583
56.0,0.9653333333333334,0.968,0.6043563010437131
57.0,0.9653333333333334,0.976,0.6023600155118891
58.0,0.9653333333333334,0.976,0.6006705097403436
59.0,0.9653333333333334,0.976,0.5990726113630189
60.0,0.968,0.976,0.5975316429845482
61.0,0.968,0.976,0.5960886429553176
62.0,0.968,0.976,0.5948172219832087
63.0,0.968,0.976,0.5936134418804933
64.0,0.968,0.976,0.5925437291344026
65.0,0.968,0.976,0.5916700392685589
66.0,0.9706666666666667,0.976,0.5908881685866126
67.0,0.968,0.976,0.5901550536036687
68.0,0.968,0.976,0.5895021793606022
69.0,0.968,0.976,0.5888624500137158
70.0,0.9653333333333334,0.976,0.588189340607458
71.0,0.9653333333333334,0.984,0.5875556589284575
72.0,0.9653333333333334,0.976,0.5868791387697246
73.0,0.9626666666666667,0.976,0.5862645075365993
74.0,0.9653333333333334,0.976,0.5857391860573902
75.0,0.9626666666666667,0.976,0.5852184301870519
76.0,0.96,0.976,0.5847577951328198
77.0,0.96,0.968,0.5844112784783744
78.0,0.96,0.968,0.5841185882534536
79.0,0.96,0.968,0.5838540240909356
80.0,0.96,0.968,0.5835896891186446
81.0,0.96,0.968,0.5833696413365251
82.0,0.96,0.976,0.5832226855327479
83.0,0.96,0.976,0.5830740606172206
84.0,0.96,0.976,0.5829715988526252
85.0,0.96,0.976,0.5828744843790162
86.0,0.96,0.976,0.5828115339981703
87.0,0.9626666666666667,0.976,0.5827597558402822
88.0,0.9626666666666667,0.976,0.5826753736986097
89.0,0.9626666666666667,0.976,0.5825781853082501
90.0,0.9626666666666667,0.976,0.5823872559724979
91.0,0.9626666666666667,0.976,0.5823220600406248
92.0,0.9626666666666667,0.976,0.5821819455426518
93.0,0.96,0.976,0.5820079834198054
94.0,0.96,0.976,0.5817248483826297
95.0,0.96,0.976,0.5815551654632517
96.0,0.96,0.976,0.5814738433367259
97.0,0.96,0.976,0.5813390503747454
98.0,0.96,0.976,0.5812483226064178
99.0,0.96,0.976,0.5811723938401309
